n	tiempo
1	1e-06
11	2e-06
21	5e-06
31	1.8e-05
41	1.1e-05
51	1.7e-05
61	2.4e-05
71	3.1e-05
81	4.1e-05
91	5.2e-05
101	6.3e-05
111	7.6e-05
121	9.1e-05
131	0.000106
141	0.000121
151	0.000139
161	0.000159
171	0.000178
181	0.000199
191	0.000222
201	0.000245
211	0.000436
221	0.000296
231	0.000363
241	0.00035
251	0.000381
261	0.000433
271	0.000463
281	0.000474
291	0.00051
301	0.000575
311	0.000581
321	0.00062
331	0.000657
341	0.000698
351	0.000763
361	0.000897
371	0.000827
381	0.000922
391	0.000959
401	0.001015
411	0.001015
421	0.001065
431	0.001113
441	0.001191
451	0.001222
461	0.001274
471	0.001654
481	0.002191
491	0.001475
501	0.001517
511	0.001653
521	0.001688
531	0.001732
541	0.001823
551	0.001841
561	0.00311
571	0.002248
581	0.002255
591	0.002131
601	0.002227
611	0.002313
621	0.002353
631	0.002586
641	0.0025
651	0.002532
661	0.002643
671	0.002791
681	0.002716
691	0.002785
701	0.002864
711	0.00317
721	0.003043
731	0.003116
741	0.003411
751	0.003443
761	0.003496
771	0.003514
781	0.003906
791	0.003842
801	0.00417
811	0.003903
821	0.003954
831	0.004272
841	0.004134
851	0.00425
861	0.004553
871	0.004473
881	0.004752
891	0.004659
901	0.004733
911	0.005069
921	0.005072
931	0.007485
941	0.009079
951	0.008347
961	0.006693
971	0.005971
981	0.006186
991	0.006192
